lipid	class	logFC	mean_DG	mean_NG	p_value	method	FDR	sig	direction
PC-P_(31:0)	PC-P	0.654089569212338	-2.57537596270225	-3.22946553191459	0.00233188031106295	t-test	0.0256506834216925	TRUE	Up in DG
PS_(35:1)	PS	0.0915093678957674	0.792825525945405	0.701316158049638	0.00322122135271223	Mann-Whitney	0.0328801125390943	FALSE	Up in DG
PS_(37:3)	PS	-0.504523010642207	0.380130653863238	0.884653664505444	0.00597820227983532	Mann-Whitney	0.0328801125390943	FALSE	Down in DG
LPC_(20:3)	LPC	0.361188504897484	1.31009375480664	0.948905249909152	0.0112471773818626	t-test	0.0674830642911757	FALSE	Up in DG
LPC_(22:6)	LPC	0.8725064037512	-0.558857853014161	-1.43136425676536	0.0270299002764323	Mann-Whitney	0.0810897008292968	TRUE	Up in DG
LPC_(20:4)	LPC	0.247646269682553	4.25699888087315	4.0093526111906	0.0421206474453244	t-test	0.0842412948906489	FALSE	Up in DG
PE-P_(36:3)	PE-P	-0.169691487107799	3.55604744985871	3.72573893696651	0.0104850056785482	t-test	0.11533506246403	FALSE	Down in DG
TG_(58:7)	TG	0.282573741436428	-2.16641502296725	-2.44898876440368	0.014930674683214	Mann-Whitney	0.122555224416637	FALSE	Up in DG
TG_(56:5)	TG	0.163001424300357	-0.39666801335248	-0.559669437652838	0.014930674683214	Mann-Whitney	0.122555224416637	FALSE	Up in DG
TG_(56:6)	TG	0.207691005832253	0.1164423332875	-0.0912486725447534	0.00728850478809748	Mann-Whitney	0.122555224416637	FALSE	Up in DG
TG_(47:5)	TG	-1.26578490815617	-10.843241061814	-9.57745615365778	0.0146483470736739	t-test	0.122555224416637	TRUE	Down in DG
TG_(49:4)	TG	-0.374433223199183	-5.04429557383384	-4.66986235063465	0.0154806599263121	Mann-Whitney	0.122555224416637	FALSE	Down in DG
TG_(42:2)	TG	-0.675935050648991	-2.72741819733454	-2.05148314668555	0.00819322202252344	Mann-Whitney	0.122555224416637	TRUE	Down in DG
TG_(46:4)	TG	-0.63140832900535	-3.69153904391449	-3.06013071490914	0.011539988490259	Mann-Whitney	0.122555224416637	TRUE	Down in DG
TG_(48:5)	TG	-0.453496636996582	-3.70400673237236	-3.25051009537577	0.012899111183242	Mann-Whitney	0.122555224416637	FALSE	Down in DG
TG_(47:4)	TG	-0.685992347263206	-7.2649332738231	-6.57894092655989	0.0143979774605844	Mann-Whitney	0.122555224416637	TRUE	Down in DG
TG_(49:0)	TG	-0.4877383527831	-5.45225213715989	-4.96451378437679	0.0140783274123981	t-test	0.122555224416637	FALSE	Down in DG
TG_(43:0)	TG	-1.0792348481332	-7.23720808008392	-6.15797323195072	0.00992608012127123	Mann-Whitney	0.122555224416637	TRUE	Down in DG
TG_(43:1)	TG	-1.0858682079242	-6.31179371588848	-5.22592550796428	0.0138947438361501	t-test	0.122555224416637	TRUE	Down in DG
TG_(55:5)	TG	-0.164673709856634	-5.06093971232413	-4.8962660024675	0.0308887678665655	Mann-Whitney	0.126359451949475	FALSE	Down in DG
TG_(48:4)	TG	-0.384780587456848	-0.83751022208359	-0.452729634626742	0.0212878313723741	Mann-Whitney	0.126359451949475	FALSE	Down in DG
TG_(42:1)	TG	-0.522915549387496	-2.01017649943981	-1.48726095005232	0.027958549371424	Mann-Whitney	0.126359451949475	FALSE	Down in DG
TG_(44:1)	TG	-0.41431723652198	-0.794284606987913	-0.379967370465933	0.0252711617768706	Mann-Whitney	0.126359451949475	FALSE	Down in DG
TG_(48:3)	TG	-0.284064314412197	0.996069840833237	1.28013415524543	0.0308887678665655	Mann-Whitney	0.126359451949475	FALSE	Down in DG
TG_(50:5)	TG	-0.332231621761997	-1.57941315418609	-1.24718153242409	0.027958549371424	Mann-Whitney	0.126359451949475	FALSE	Down in DG
TG_(46:3)	TG	-0.515548143751062	-1.09826257413837	-0.582714430387306	0.0185064287331427	Mann-Whitney	0.126359451949475	FALSE	Down in DG
TG_(46:1)	TG	-0.189129916730482	0.298075243944294	0.487205160674775	0.0252711617768706	Mann-Whitney	0.126359451949475	FALSE	Down in DG
TG_(48:2)	TG	-0.188262676769449	1.66665187880611	1.85491455557556	0.0294004334550386	t-test	0.126359451949475	FALSE	Down in DG
TG_(51:0)	TG	-0.721313039262749	-7.30135727831539	-6.58004423905264	0.0244264895525121	Mann-Whitney	0.126359451949475	TRUE	Down in DG
