gene	rna_logFC	rna_FDR	is_DEG	meth_n_cpg	meth_mean_db	meth_best_p	meth_best_FDR	direction_match
LRPPRC	-0.317	0.00509	FALSE	1	0.244	6.11248523339269e-05	0.148996075968846	hyper + down (canonical)
FGFR2	-0.647	0.0131	TRUE	4	0.18	0.000161854452146062	0.16684760252657	hyper + down (canonical)
AFG3L2	-0.206	0.0185	FALSE	1	0.216	0.000937195988362521	0.278695382789012	hyper + down (canonical)
MACROD1	-0.269	0.0572	FALSE	3	0.216	0.00013951882988088	0.159620556028191	hyper + down (canonical)
HSPG2	-0.272	0.0692	FALSE	1	0.225	0.00027294766254649	0.191393542406591	hyper + down (canonical)
SLC25A36	-0.165	0.0692	FALSE	1	-0.071	0.000723534410127915	0.256171166369095	hypo + down (non-canonical)
PDLIM1	0.454	0.0996	FALSE	1	0.211	0.000128468706752455	0.157490671714192	hyper + up (non-canonical)
APLP2	-0.19	0.0996	FALSE	1	0.218	7.81339091447458e-05	0.148996075968846	hyper + down (canonical)
CCDC88C	0.608	0.129	FALSE	4	0.199	8.17481725246512e-05	0.148996075968846	hyper + up (non-canonical)
ZNF423	-0.253	0.134	FALSE	2	0.153	0.000253503709030581	0.187351879282474	hyper + down (canonical)
PSD4	1.016	0.136	FALSE	2	0.146	7.13640905020661e-05	0.148996075968846	hyper + up (non-canonical)
CABLES1	-0.182	0.15	FALSE	3	0.207	0.000165024655747959	0.16684760252657	hyper + down (canonical)
STX1B	0.257	0.189	FALSE	1	0.116	0.000162754987653672	0.16684760252657	hyper + up (non-canonical)
PRPF18	0.148	0.213	FALSE	3	0.203	0.000189568089683902	0.177307377075978	hyper + up (non-canonical)
S100A10	0.207	0.215	FALSE	1	0.16	0.000103793177887545	0.148996075968846	hyper + up (non-canonical)
BCL2L13	-0.119	0.222	FALSE	2	0.234	0.000296038756123549	0.196492899579714	hyper + down (canonical)
TNFRSF21	-0.173	0.23	FALSE	1	0.351	1.46426893806566e-05	0.0892629575787006	hyper + down (canonical)
ANO1	-0.436	0.236	FALSE	1	-0.081	0.000609204343960756	0.245123768369999	hypo + down (non-canonical)
MARK4	-0.124	0.247	FALSE	1	0.185	0.000921432825217337	0.277226934784247	hyper + down (canonical)
ST3GAL2	0.16	0.251	FALSE	2	0.084	0.000378535282136121	0.208451475063615	hyper + up (non-canonical)
RAD18	0.198	0.251	FALSE	1	0.19	7.29706939946674e-05	0.148996075968846	hyper + up (non-canonical)
CACNA1A	0.397	0.258	FALSE	1	0.17	0.000599211099716378	0.243464509908126	hyper + up (non-canonical)
LINC01354	-0.292	0.285	FALSE	1	0.12	0.000970224627211221	0.283669496284223	hyper + down (canonical)
SMARCA2	-0.165	0.289	FALSE	1	0.235	3.74997461421279e-05	0.130764857425367	hyper + down (canonical)
EEF2K	-0.175	0.314	FALSE	1	0.121	0.000387893155091062	0.208451475063615	hyper + down (canonical)
TMEM132B	-0.262	0.314	FALSE	1	0.166	0.000173718844374304	0.173619005957997	hyper + down (canonical)
KLF6	0.195	0.324	FALSE	1	0.162	0.000406328686043969	0.215428532021482	hyper + up (non-canonical)
ZBTB4	-0.114	0.342	FALSE	1	-0.056	0.000628238796875958	0.246060195443083	hypo + down (non-canonical)
SORT1	-0.096	0.346	FALSE	1	0.228	0.000651745872643426	0.251863571672648	hyper + down (canonical)
PSPC1	0.099	0.365	FALSE	2	0.263	0.000205547759618597	0.177307377075978	hyper + up (non-canonical)
ZBTB18	0.168	0.365	FALSE	1	0.146	0.000446903220045109	0.22147005824865	hyper + up (non-canonical)
IER2	-0.199	0.377	FALSE	1	0.215	0.00014265487202596	0.16067995674335	hyper + down (canonical)
KAZN	-0.159	0.419	FALSE	1	0.124	0.000342720724346015	0.20428006794216	hyper + down (canonical)
NRP2	0.264	0.422	FALSE	1	0.234	0.000752391604879515	0.258887156720864	hyper + up (non-canonical)
SDCCAG8	-0.073	0.438	FALSE	2	0.221	0.000656492722973792	0.252066112223218	hyper + down (canonical)
PPP2R3B	-0.173	0.443	FALSE	5	-0.062	0.00025194464440629	0.187351879282474	hypo + down (non-canonical)
RNF220	0.069	0.466	FALSE	1	0.232	0.000388374226110473	0.208451475063615	hyper + up (non-canonical)
PRTFDC1	0.292	0.468	FALSE	1	0.178	0.00035240954791632	0.20428006794216	hyper + up (non-canonical)
NPAS2	-0.203	0.471	FALSE	1	0.172	0.000689640895260097	0.255327885826452	hyper + down (canonical)
TBCA	0.099	0.495	FALSE	1	-0.102	0.000671948984652866	0.254025931372029	hypo + up (canonical)
ZFX	-0.052	0.501	FALSE	1	0.238	0.000568109042422458	0.236126732457454	hyper + down (canonical)
TAF1B	0.096	0.51	FALSE	1	0.167	0.000560667526977671	0.235507446718399	hyper + up (non-canonical)
PTGES3	-0.077	0.519	FALSE	1	0.218	0.00047619467467775	0.223811497098543	hyper + down (canonical)
PPM1H	0.197	0.535	FALSE	1	0.153	9.47250169892435e-05	0.148996075968846	hyper + up (non-canonical)
ECT2	0.095	0.536	FALSE	1	-0.051	0.000648784220697928	0.251838339239665	hypo + up (canonical)
MSH6	-0.07	0.573	FALSE	3	0.157	6.33583614651731e-05	0.148996075968846	hyper + down (canonical)
RALGPS1	-0.137	0.586	FALSE	1	0.162	8.41866830187269e-05	0.148996075968846	hyper + down (canonical)
LARP1B	-0.069	0.589	FALSE	1	0.211	0.000670780822190181	0.254025931372029	hyper + down (canonical)
CROCCP3	0.174	0.592	FALSE	1	0.2	0.000442135132662003	0.22147005824865	hyper + up (non-canonical)
GRAMD1B	0.292	0.596	FALSE	1	0.203	5.66837208582851e-05	0.148996075968846	hyper + up (non-canonical)
FAT1	-0.098	0.605	FALSE	1	0.171	0.000833507170524649	0.263437679418356	hyper + down (canonical)
SP100	0.059	0.638	FALSE	1	0.188	0.000365864186575584	0.207920856357824	hyper + up (non-canonical)
ANXA2	0.075	0.642	FALSE	1	0.139	0.000267879943142588	0.189944829610767	hyper + up (non-canonical)
APOD	0.306	0.651	FALSE	1	0.156	0.000810183780797346	0.263033987849911	hyper + up (non-canonical)
INTU	-0.074	0.656	FALSE	1	0.171	0.000491911687901424	0.227509155654409	hyper + down (canonical)
MBNL2	-0.059	0.663	FALSE	4	0.127	1.85338058783529e-06	0.0454549726807774	hyper + down (canonical)
CCSER2	-0.041	0.68	FALSE	2	0.235	0.000196608928724191	0.177307377075978	hyper + down (canonical)
LMNA	-0.051	0.708	FALSE	1	0.193	0.000475119603282291	0.223811497098543	hyper + down (canonical)
RAI1	-0.089	0.718	FALSE	1	0.131	0.000578544353148661	0.237714063757861	hyper + down (canonical)
PLIN3	-0.063	0.721	FALSE	1	0.192	0.000872942836158462	0.267261900014008	hyper + down (canonical)
NFATC4	0.182	0.723	FALSE	1	0.13	0.000846508723949496	0.263805569962819	hyper + up (non-canonical)
CUBN	0.122	0.725	FALSE	2	0.196	0.000462606198843917	0.223464494385992	hyper + up (non-canonical)
VILL	0.112	0.731	FALSE	1	0.16	0.000501602505450889	0.228797894842395	hyper + up (non-canonical)
HLCS	-0.043	0.755	FALSE	1	0.277	2.98390598042347e-05	0.117932102271737	hyper + down (canonical)
KLC1	0.059	0.761	FALSE	4	0.231	1.29736318597677e-05	0.0867736377082155	hyper + up (non-canonical)
KIF13B	0.051	0.768	FALSE	2	0.107	9.56947317223556e-05	0.148996075968846	hyper + up (non-canonical)
NOP56	-0.037	0.77	FALSE	1	0.196	0.000243074227145399	0.187038088940641	hyper + down (canonical)
ALG9	0.063	0.776	FALSE	2	0.182	0.000529320581812488	0.230514831702938	hyper + up (non-canonical)
FAM107B	-0.06	0.78	FALSE	2	0.102	0.0002423997801893	0.187038088940641	hyper + down (canonical)
PELP1	-0.033	0.781	FALSE	1	0.088	8.0321911230338e-05	0.148996075968846	hyper + down (canonical)
FAM160B1	-0.034	0.781	FALSE	1	0.205	0.000726345408396829	0.256171166369095	hyper + down (canonical)
SMO	0.062	0.783	FALSE					unclear
ECE1	-0.054	0.797	FALSE	3	0.216	0.000306173885399324	0.197838406124294	hyper + down (canonical)
TRAPPC9	-0.037	0.799	FALSE	1	0.227	0.000704928595759228	0.256171166369095	hyper + down (canonical)
CHSY3	-0.09	0.804	FALSE	1	0.141	0.000546700922860615	0.233092417985069	hyper + down (canonical)
LAPTM4A	-0.044	0.805	FALSE	2	0.203	4.75207150815439e-05	0.148996075968846	hyper + down (canonical)
CNOT8	-0.046	0.805	FALSE	1	0.217	0.000863629495645201	0.265344822071909	hyper + down (canonical)
IDUA	-0.045	0.832	FALSE	1	0.257	0.000566436453770028	0.236126732457454	hyper + down (canonical)
ZBTB2	-0.04	0.837	FALSE	1	0.173	0.000931326381465722	0.278277762434517	hyper + down (canonical)
NR2F1-AS1	-0.042	0.843	FALSE	2	0.174	0.000104284422589956	0.148996075968846	hyper + down (canonical)
MT1E	-0.083	0.849	FALSE	5	0.101	0.000504949990387861	0.228797894842395	hyper + down (canonical)
OAT	-0.022	0.851	FALSE	2	0.18	7.49156018093836e-05	0.148996075968846	hyper + down (canonical)
ANO8	-0.04	0.875	FALSE	2	-0.1	0.000154670222796711	0.16684760252657	hypo + down (non-canonical)
DDIT4	0.048	0.876	FALSE	1	0.245	0.000513417251809529	0.228797894842395	hyper + up (non-canonical)
OAF	0.054	0.895	FALSE	4	0.163	6.44731149012866e-06	0.080785229266998	hyper + up (non-canonical)
GLRX	0.034	0.902	FALSE	1	0.183	0.000815376882440246	0.263033987849911	hyper + up (non-canonical)
GATAD2A	-0.022	0.906	FALSE	5	0.246	0.000131727652586523	0.157490671714192	hyper + down (canonical)
KIRREL1	-0.023	0.917	FALSE	1	0.142	0.000472721499717892	0.223811497098543	hyper + down (canonical)
SPRED2	-0.028	0.927	FALSE	1	0.246	0.000421101528550723	0.218352075327897	hyper + down (canonical)
PLA2G6	0.017	0.94	FALSE	1	0.116	0.000551821802263593	0.234053198569851	hyper + up (non-canonical)
ERF	0.03	0.947	FALSE	1	0.097	0.000426340226051153	0.218352075327897	hyper + up (non-canonical)
CDH5	-0.054	0.947	FALSE	1	0.193	1.8923895978077e-07	0.00822716377646898	hyper + down (canonical)
HIPK3	-0.007	0.971	FALSE	1	0.235	0.000687932952678589	0.255327885826452	hyper + down (canonical)
UTP4	-0.004	0.986	FALSE	1	0.164	0.000849517649103959	0.263805569962819	hyper + down (canonical)
SEMA4B	0.007	0.987	FALSE	3	0.189	0.000780625188171851	0.263033987849911	hyper + up (non-canonical)
SLC29A2	-0.002	0.998	FALSE	1	0.107	0.000718216542626354	0.256171166369095	hyper + down (canonical)
