	Gene.name	Gene.description	Gene.type	logFC	logCPM	LR	PValue	FDR	DEG
ENSG00000207008	SNORA54	small nucleolar RNA, H/ACA box 54 [Source:HGNC Symbol;Acc:HGNC:32647]	snoRNA	1.49009927799977	3.81357398235713	34.3971933304767	4.49370829960668e-09	3.10043404131363e-05	Upregulated
ENSG00000212283	SNORD89	small nucleolar RNA, C/D box 89 [Source:HGNC Symbol;Acc:HGNC:32750]	snoRNA	1.30181394109176	4.64247650724942	28.5718628580287	9.02846349476027e-08	0.000415279225880656	Upregulated
ENSG00000212588	SNORA26	small nucleolar RNA, H/ACA box 26 [Source:HGNC Symbol;Acc:HGNC:32616]	snoRNA	1.77739315177985	3.29018918300797	27.2198743533813	1.81582477498552e-07	0.000626414151750628	Upregulated
ENSG00000212464	SNORA12	small nucleolar RNA, H/ACA box 12 [Source:HGNC Symbol;Acc:HGNC:32600]	snoRNA	1.15021319671541	4.17049691420869	25.7684289769428	3.84933803749793e-07	0.00106234031158868	Upregulated
ENSG00000108846	ABCC3	ATP binding cassette subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:54]	protein_coding	1.40257237973359	3.34396754095585	24.989791948649	5.76346515878482e-07	0.00132550092876786	Upregulated
ENSG00000200087	SNORA73B	small nucleolar RNA, H/ACA box 73B [Source:HGNC Symbol;Acc:HGNC:10116]	snoRNA	0.936832242864788	8.59483781135526	24.688109223002	6.73987263224464e-07	0.00132862146360491	Upregulated
ENSG00000202512	RN7SKP230	RNA, 7SK small nuclear pseudogene 230 [Source:HGNC Symbol;Acc:HGNC:45954]	misc_RNA	1.06068979666808	0.916929570330289	23.6937307395935	1.12949879772338e-06	0.00194824423872311	Upregulated
ENSG00000207392	SNORA20	small nucleolar RNA, H/ACA box 20 [Source:HGNC Symbol;Acc:HGNC:32610]	snoRNA	1.58762368974549	4.68578322295778	23.2105475775935	1.45198766425844e-06	0.00203175900633318	Upregulated
ENSG00000252947	SCARNA1	small Cajal body-specific RNA 1 [Source:HGNC Symbol;Acc:HGNC:32555]	scaRNA	1.08451774650551	3.52880634522693	22.9632765763626	1.65125822898432e-06	0.0020714283910686	Upregulated
ENSG00000200354	SNORA71D	small nucleolar RNA, H/ACA box 71D [Source:HGNC Symbol;Acc:HGNC:32657]	snoRNA	1.06484860026804	2.61522529872588	22.5333512869732	2.0652664943776e-06	0.00220623098839423	Upregulated
ENSG00000266019	MIR3609	microRNA 3609 [Source:HGNC Symbol;Acc:HGNC:38956]	miRNA	0.928769853378144	3.9280608393797	22.5210960398305	2.07848415458547e-06	0.00220623098839423	Upregulated
ENSG00000196154	S100A4	S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494]	protein_coding	0.887043547453254	4.65025745185977	21.9024842356915	2.86862324583943e-06	0.00273571889211427	Upregulated
ENSG00000274012	RN7SL2	RNA, 7SL, cytoplasmic 2 [Source:HGNC Symbol;Acc:HGNC:23134]	misc_RNA	0.840410216277308	10.3707550582837	21.8333735608191	2.97382298584782e-06	0.00273571889211427	Upregulated
ENSG00000270672	MTRNR2L6	MT-RNR2 like 6 [Source:HGNC Symbol;Acc:HGNC:37163]	protein_coding	1.05338728650465	2.21395674130807	21.5233304212556	3.49550083727094e-06	0.00301465100334386	Upregulated
ENSG00000196139	AKR1C3	aldo-keto reductase family 1 member C3 [Source:HGNC Symbol;Acc:HGNC:386]	protein_coding	0.784554304380698	3.02116330618014	21.3703665433173	3.78577584113284e-06	0.00307293651951718	Upregulated
ENSG00000207063	SNORD116-1	small nucleolar RNA, C/D box 116-1 [Source:HGNC Symbol;Acc:HGNC:33067]	snoRNA	1.0613913456343	2.22305178972037	20.8892912560246	4.86607390838611e-06	0.00373038632565667	Upregulated
ENSG00000201457	SNORA55	small nucleolar RNA, H/ACA box 55 [Source:HGNC Symbol;Acc:HGNC:32649]	snoRNA	1.63165575823038	2.72534501487729	20.2090204951043	6.94247927184915e-06	0.00471673774758347	Upregulated
ENSG00000068976	PYGM	glycogen phosphorylase, muscle associated [Source:HGNC Symbol;Acc:HGNC:9726]	protein_coding	-0.598387984751897	4.83780130859388	20.1451602240531	7.17816455534842e-06	0.00471673774758347	Downregulated
ENSG00000208892	SNORA49	small nucleolar RNA, H/ACA box 49 [Source:HGNC Symbol;Acc:HGNC:32642]	snoRNA	1.03517493955628	5.86398603623588	19.9996347649864	7.7456957584132e-06	0.00485831162592471	Upregulated
ENSG00000200913	SNORD46	small nucleolar RNA, C/D box 46 [Source:HGNC Symbol;Acc:HGNC:10186]	snoRNA	1.38863267317383	2.40180973178427	19.5908990697809	9.59250472870861e-06	0.00509103741351731	Upregulated
ENSG00000199753	SNORD104	small nucleolar RNA, C/D box 104 [Source:HGNC Symbol;Acc:HGNC:32768]	snoRNA	1.27974163024657	1.96209423278465	19.2948357789595	1.12008890809088e-05	0.00572448401583188	Upregulated
ENSG00000200394	SNORA38B	small nucleolar RNA, H/ACA box 38B [Source:HGNC Symbol;Acc:HGNC:33617]	snoRNA	1.25183426475397	1.71985383905363	18.8154248484557	1.4399783745104e-05	0.00651852515469594	Upregulated
ENSG00000207279	SNORD116-24	small nucleolar RNA, C/D box 116-24 [Source:HGNC Symbol;Acc:HGNC:33090]	snoRNA	1.11182218638622	3.32305924827299	18.6647426201652	1.55837611317022e-05	0.00651852515469594	Upregulated
ENSG00000109819	PPARGC1A	PPARG coactivator 1 alpha [Source:HGNC Symbol;Acc:HGNC:9237]	protein_coding	-0.707076225889272	4.00848167105888	18.5540779971962	1.65151526950135e-05	0.00652670087808361	Downregulated
ENSG00000202354	RNY3	RNA, Ro-associated Y3 [Source:HGNC Symbol;Acc:HGNC:10243]	misc_RNA	1.24006755576766	4.47061665645957	18.3669032317634	1.82195395842963e-05	0.00660946264583975	Upregulated
ENSG00000239039	SNORD13	small nucleolar RNA, C/D box 13 [Source:HGNC Symbol;Acc:HGNC:32711]	snoRNA	1.05377671812279	2.47586857942902	18.300562715954	1.88651435459273e-05	0.00660946264583975	Upregulated
ENSG00000200785	SNORD8	small nucleolar RNA, C/D box 8 [Source:HGNC Symbol;Acc:HGNC:20159]	snoRNA	1.03879679758904	6.06016301065673	18.1762581421343	2.01373610689178e-05	0.00677744988756091	Upregulated
ENSG00000198502	HLA-DRB5	major histocompatibility complex, class II, DR beta 5 [Source:HGNC Symbol;Acc:HGNC:4953]	protein_coding	1.45733142932229	3.65825725867865	18.0900085141	2.10704191287499e-05	0.0069226360370862	Upregulated
ENSG00000207067	SNORA72	small nucleolar RNA, H/ACA box 72 [Source:HGNC Symbol;Acc:HGNC:10234]	snoRNA	1.49662893073382	2.27842272340692	17.7502545734986	2.51883785663451e-05	0.00774395391704643	Upregulated
ENSG00000278294	RF00002		rRNA	0.708374543321442	2.00033372205508	17.7035049435031	2.58150503793127e-05	0.00774395391704643	Upregulated
ENSG00000103528	SYT17	synaptotagmin 17 [Source:HGNC Symbol;Acc:HGNC:24119]	protein_coding	-1.09829699256376	2.12742152766573	17.6503568944391	2.65465456629135e-05	0.00779395284260729	Downregulated
ENSG00000275110	MIR6087	microRNA 6087 [Source:HGNC Symbol;Acc:HGNC:50045]	miRNA	0.703421582719588	7.652328103989	17.4477165729481	2.95318809113935e-05	0.00790533762661745	Upregulated
ENSG00000207445	SNORD15B	small nucleolar RNA, C/D box 15B [Source:HGNC Symbol;Acc:HGNC:16649]	snoRNA	0.894007192056973	6.35739972169104	17.3979781718663	3.03148266602475e-05	0.00790533762661745	Upregulated
ENSG00000241529	RN7SL767P	RNA, 7SL, cytoplasmic 767, pseudogene [Source:HGNC Symbol;Acc:HGNC:46783]	misc_RNA	0.623549436491163	4.21361180595463	17.3465122434426	3.11469357522413e-05	0.00790533762661745	Upregulated
ENSG00000240606	RN7SL564P	RNA, 7SL, cytoplasmic 564, pseudogene [Source:HGNC Symbol;Acc:HGNC:46580]	misc_RNA	0.688720904543516	2.22394536602223	17.2152578216585	3.33745103076865e-05	0.00822383692385296	Upregulated
ENSG00000146090	RASGEF1C	RasGEF domain family member 1C [Source:HGNC Symbol;Acc:HGNC:27400]	protein_coding	0.816778020324631	1.07255936267242	17.1044217460026	3.53798379664096e-05	0.00827468447624553	Upregulated
ENSG00000207181	SNORA14B	small nucleolar RNA, H/ACA box 14B [Source:HGNC Symbol;Acc:HGNC:32603]	snoRNA	1.03624720547996	4.95277149566877	17.0305780904614	3.67826697415134e-05	0.00845940099605239	Upregulated
ENSG00000222365	SNORD12B	small nucleolar RNA, C/D box 12B [Source:HGNC Symbol;Acc:HGNC:33573]	snoRNA	1.1236167470915	0.650600009851136	16.9934166335917	3.75096521475497e-05	0.00848517524563997	Upregulated
ENSG00000223224	SNORD71	small nucleolar RNA, C/D box 71 [Source:HGNC Symbol;Acc:HGNC:32732]	snoRNA	1.10945950305022	1.97689153561915	16.919867861435	3.89913344622429e-05	0.00867808748781435	Upregulated
